breed_en,breed_zh,url
Abyssinian,阿比西尼亞貓,https://www.wisdompanel.com/en-us/cat-breeds/abyssinian
American Curl,美國捲毛貓,https://www.wisdompanel.com/en-us/cat-breeds/american-curl
American Shorthair,美國短毛貓 ,https://www.wisdompanel.com/en-us/cat-breeds/american-shorthair
Balinese,巴里貓 ,https://www.wisdompanel.com/en-us/cat-breeds/balinese
Bengal,孟加拉貓,https://www.wisdompanel.com/en-us/cat-breeds/bengal
Birman,伯曼貓,https://www.wisdompanel.com/en-us/cat-breeds/sacred-birman
Bombay,孟買貓,https://www.wisdompanel.com/en-us/cat-breeds/bombay
British Shorthair,英國短毛貓,https://www.wisdompanel.com/en-us/cat-breeds/british-shorthair
Burmese,緬甸貓,https://www.wisdompanel.com/en-us/cat-breeds/burmese
Cornish Rex,柯尼斯捲毛貓,https://www.wisdompanel.com/en-us/cat-breeds/cornish-rex
Devon Rex,德文帝王貓,https://www.wisdompanel.com/en-us/cat-breeds/devon-rex
Egyptian Mau,埃及貓,https://www.wisdompanel.com/en-us/cat-breeds/egyptian-mau
Exotic Shorthair,異國短毛貓,https://www.wisdompanel.com/en-us/cat-breeds/european-shorthair
Extra-Toes Cat - Hemingway Polydactyl,多趾貓 - 海明威多指,https://www.thesprucepets.com/polydactyl-cats-4175908
Havana,哈瓦那棕貓,https://www.wisdompanel.com/en-us/cat-breeds/havana-brown
Himalayan,喜馬拉雅貓,https://www.wisdompanel.com/en-us/cat-breeds/highlander
Japanese Bobtail,日本短尾貓 ,https://www.wisdompanel.com/en-us/cat-breeds/japanese-bobtail
Korat,科拉特貓 ,https://www.wisdompanel.com/en-us/cat-breeds/korat
Maine Coon,緬因貓,https://www.wisdompanel.com/en-us/cat-breeds/maine-coon
Manx,曼島貓 ,https://www.wisdompanel.com/en-us/cat-breeds/manx
Nebelung,內華達貓,https://www.thesprucepets.com/nebelung-cat-breed-profile-4770585
Norwegian Forest Cat,挪威森林貓,https://www.wisdompanel.com/en-us/cat-breeds/norwegian-forest-cat
Oriental Short Hair,東方短毛貓,https://www.wisdompanel.com/en-us/cat-breeds/siamese-and-oriental-shorthair
Persian,波斯貓,https://www.wisdompanel.com/en-us/cat-breeds/persian
Ragdoll,布偶貓,https://www.wisdompanel.com/en-us/cat-breeds/ragdoll
Russian Blue,俄羅斯藍貓,https://www.wisdompanel.com/en-us/cat-breeds/russian-blue
Scottish Fold,蘇格蘭摺耳貓,https://www.wisdompanel.com/en-us/cat-breeds/scottish-fold
Selkirk Rex,塞爾凱克捲毛貓,https://www.wisdompanel.com/en-us/cat-breeds/selkirk-rex
Siamese,暹羅貓,https://www.wisdompanel.com/en-us/cat-breeds/siamese-and-oriental-shorthair
Siberian,西伯利亞貓,https://www.wisdompanel.com/en-us/cat-breeds/siberian
Snowshoe,雪鞋貓 ,https://www.thesprucepets.com/snowshoe-cat-breed-profile-4769066
Sphynx,斯芬克斯貓 ,https://www.wisdompanel.com/en-us/cat-breeds/sphynx
Tonkinese,東奇尼貓,https://www.thesprucepets.com/tonkinese-cat-full-profile-history-and-care-4694353
Toyger tiger cat,玩具虎貓,https://www.wisdompanel.com/en-us/cat-breeds/toyger
Turkish Angora,土耳其安哥拉貓,https://www.wisdompanel.com/en-us/cat-breeds/turkish-angora